pl_name,hostname,tran_flag,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_teff,st_rad,pl_dens
Kepler-317 b,Kepler-317,1.0,0.186,0.086,-0.086,5.524242,2.7e-05,-2.7e-05,976.0,,,151.652,10.962,-10.183,0.345,0.357,-0.302,0.865,0.064,-0.032,0.13,0.152,-0.144,5497.0,0.941,66.1
Kepler-32 b,Kepler-32,1.0,0.196,0.018,-0.018,5.90124,0.0001,-0.0001,514.0,,,22.025,2.26,-2.082,4.1,,,0.58,0.05,-0.05,0.0,0.4,-0.4,3900.0,0.53,0.46
Kepler-32 c,Kepler-32,1.0,0.178,0.018,-0.018,8.7522,0.0003,-0.0003,451.0,,,10.68,1.16,-0.61,0.5,,,0.58,0.05,-0.05,0.0,0.4,-0.4,3900.0,0.53,0.33
Kepler-32 f,Kepler-32,1.0,0.0731555,0.00624498,-0.00624498,0.74296,7e-05,-7e-05,1026.0,,,349.645,35.879,-33.046,3.04953232,,,0.58,0.05,-0.05,0.0,0.4,-0.4,3900.0,0.53,1.5
Kepler-324 b,Kepler-324,1.0,0.102,0.01,-0.01,4.385315,2.5e-05,-2.5e-05,935.0,,,194.34,5.325,-5.202,7.59655193,,,0.901,0.017,-0.027,0.18,0.04,-0.04,5194.0,0.84,3.0
Kepler-391 b,Kepler-391,1.0,0.22303545,0.02587211,-0.02587211,7.4175,0.0027,-0.0037,930.0,37.0,-140.0,690.0,390.0,-410.0,3.46098705,,,1.27,0.081,-0.081,0.04,0.02,-0.02,5038.0,2.879,380.0
Kepler-40 b,Kepler-40,1.0,1.17,0.04,-0.04,6.87349,0.00064,-0.00064,1620.0,30.0,-30.0,1187.965,139.556,-120.65,2.2,0.4,-0.4,1.48,0.06,-0.06,0.1,0.15,-0.1,6510.0,2.13,1.68
Kepler-41 b,Kepler-41,1.0,1.29,0.02,-0.02,1.8555582,5.2e-07,-5.2e-07,1790.0,31.0,-31.0,2036.749,117.262,-109.892,0.56,0.08,-0.08,1.15,0.04,-0.04,0.38,0.11,-0.11,5750.0,1.29,0.33
Kepler-412 b,Kepler-412,1.0,1.341,0.044,-0.046,1.7208604,3e-07,-3e-07,1850.0,30.0,-30.0,2144.307,98.659,-94.03,0.941,0.125,-0.019,1.167,0.091,-0.091,0.27,0.12,-0.12,5750.0,1.287,0.52
Kepler-415 b,Kepler-415,1.0,0.108,0.012,-0.009,4.176,,,694.0,,,69.834,3.937,-3.705,0.377,0.321,-0.275,0.67,,,0.01,0.14,-0.141,4362.0,0.643,372.0
Kepler-422 b,Kepler-422,1.0,1.15,0.11,-0.11,7.8914483,5e-07,-5.1e-07,1028.0,,,264.983,5.551,-5.443,0.43,0.13,-0.13,1.15,0.06,-0.06,0.23,0.09,-0.09,5972.0,1.24,0.38
Kepler-423 b,Kepler-423,1.0,1.192,0.052,-0.052,2.6843285,7e-08,-7e-08,1605.0,120.0,-120.0,649.148,29.111,-27.823,0.595,0.081,-0.081,0.85,0.04,-0.04,-0.1,0.05,-0.05,5560.0,0.95,0.459
Kepler-424 b,Kepler-424,1.0,0.89,0.08,-0.06,3.3118644,3.9e-07,-3.9e-07,1116.0,,,470.754,16.741,-16.162,1.03,0.13,-0.13,1.01,0.054,-0.054,0.44,0.14,-0.14,5460.0,0.94,1.94
Kepler-426 b,Kepler-426,1.0,1.09,0.03,-0.03,3.21751883,1.9e-07,-1.9e-07,1300.0,20.0,-20.0,410.723,18.58,-17.686,0.34,0.08,-0.08,0.91,0.06,-0.06,-0.21,0.08,-0.08,5725.0,0.92,0.26
Kepler-428 b,Kepler-428,1.0,1.08,0.03,-0.03,3.52563254,1.5e-07,-1.5e-07,1070.0,25.0,-25.0,195.088,10.853,-10.212,1.27,0.19,-0.19,0.87,0.05,-0.05,0.09,0.17,-0.17,5150.0,0.8,1.02
Kepler-43 b,Kepler-43,1.0,1.219,0.065,-0.064,3.0240949,6e-07,-6e-07,1620.0,40.0,-40.0,1138.115,46.311,-44.15,3.23,0.26,-0.26,1.32,0.09,-0.09,0.33,0.11,-0.11,6041.0,1.42,5.0
Kepler-433 b,Kepler-433,1.0,1.45,0.16,-0.16,5.33408384,1.1e-06,-1.1e-06,1776.0,87.0,-87.0,1682.66,148.216,-133.034,2.82,0.52,-0.52,1.46,0.17,-0.17,-0.01,0.2,-0.2,6360.0,2.26,1.13
Kepler-435 b,Kepler-435,1.0,1.99,0.18,-0.18,8.6001536,1.8e-06,-1.8e-06,1729.0,70.0,-70.0,677.917,37.259,-35.074,0.84,0.15,-0.15,1.538,0.088,-0.088,-0.18,0.11,-0.11,6161.0,3.21,0.131
Kepler-44 b,Kepler-44,1.0,1.09,0.07,-0.07,3.2467293,3e-06,-3e-06,1544.0,47.0,-47.0,1109.223,76.823,-70.746,1.0,0.1,-0.1,1.12,0.08,-0.08,0.15,0.1,-0.1,5800.0,1.35,0.93
Kepler-447 b,Kepler-447,1.0,1.65,0.59,-0.56,7.79430132,1.82e-06,-1.82e-06,882.0,,,119.039,2.565,-2.521,1.37,0.48,-0.46,1.0,0.21,-0.21,0.07,0.05,-0.05,5493.0,1.05,0.4
Kepler-45 b,Kepler-45,1.0,0.96,0.11,-0.11,2.455239,4e-06,-4e-06,1000.0,20.0,-20.0,68.37,1.67,-1.3,0.505,0.09,-0.09,0.59,0.06,-0.06,0.28,0.14,-0.14,3820.0,0.55,0.8
Kepler-49 d,Kepler-49,1.0,0.143,0.006,-0.006,2.576549,3e-06,-3e-06,717.0,,,64.39,5.83,-3.94,0.7424824,,,0.549,0.009,-0.009,0.03,0.092,-0.071,4252.0,0.559,20.0
Kepler-5 b,Kepler-5,1.0,1.426,0.036,-0.051,3.5484657,7e-07,-7e-07,1750.0,20.0,-20.0,1822.758,84.853,-80.473,2.111,0.067,-0.086,1.374,0.04,-0.059,0.04,0.06,-0.06,6297.0,1.793,0.4
Kepler-52 b,Kepler-52,1.0,0.187,,,7.8773565,3.8e-05,-3.8e-05,553.0,,,22.72,0.663,-0.647,0.4247575,,,0.54,,,0.0,0.116,-0.092,4075.0,0.52,3.35
Kepler-553 b,Kepler-553,1.0,0.423,0.016,-0.011,4.030467,1.8e-06,-1.8e-06,1089.0,19.0,-19.0,235.0,16.0,-15.0,0.365,,,0.889,0.046,-0.036,0.152,0.058,-0.058,5191.0,0.902,
Kepler-58 e,Kepler-58,1.0,0.14363483,0.04639137,-0.01962712,4.45814897,2.897e-05,-2.897e-05,1212.0,,,511.6,502.96,-182.45,1.88087656,,,1.017,0.167,-0.125,-0.12,0.25,-0.3,6100.0,1.083,131.0
Kepler-6 b,Kepler-6,1.0,1.304,0.018,-0.033,3.2346996,4e-07,-4e-07,1460.0,10.0,-10.0,792.218,19.729,-19.131,0.668,0.038,-0.035,1.209,0.044,-0.038,0.34,0.04,-0.04,5647.0,1.391,0.4
Kepler-63 b,Kepler-63,1.0,0.545,0.018,-0.018,9.4341505,1e-06,-1e-06,791.0,,,100.371,2.273,-2.234,0.378,,,0.984,0.035,-0.04,0.05,0.08,-0.08,5576.0,0.901,3.0
Kepler-7 b,Kepler-7,1.0,1.622,0.013,-0.013,4.8854892,9e-07,-9e-07,1630.0,10.0,-10.0,1375.11,66.524,-63.037,0.441,0.043,-0.042,1.359,0.031,-0.031,0.11,0.03,-0.03,5933.0,1.966,0.14
Kepler-74 b,Kepler-74,1.0,0.96,0.02,-0.02,7.340711,6e-06,-6e-06,1078.0,19.0,-19.0,337.682,19.844,-18.593,0.63,0.12,-0.12,1.18,0.04,-0.04,0.42,0.11,-0.11,6000.0,1.12,0.88
Kepler-75 b,Kepler-75,1.0,1.05,0.03,-0.03,8.8849116,3.4e-06,-3.4e-06,767.0,16.0,-16.0,106.484,5.684,-5.335,10.1,0.4,-0.4,0.91,0.04,-0.04,0.3,0.12,-0.12,5200.0,0.89,11.0
Kepler-76 b,Kepler-76,1.0,1.36,0.12,-0.12,1.5449298,4e-07,-4e-07,2140.0,40.0,-40.0,3583.673,115.384,-112.024,2.01,0.37,-0.35,1.2,0.2,-0.2,-0.1,0.2,-0.2,6409.0,1.32,1.1
Kepler-77 b,Kepler-77,1.0,0.96,0.016,-0.016,3.57878087,2.3e-07,-2.3e-07,1440.0,100.0,-120.0,432.871,12.054,-11.717,0.43,0.032,-0.032,0.95,0.04,-0.04,0.2,0.05,-0.05,5520.0,0.99,0.603
Kepler-8 b,Kepler-8,1.0,1.416,0.053,-0.062,3.5224991,7e-07,-7e-07,1680.0,40.0,-40.0,1444.881,46.995,-45.419,0.59,0.13,-0.12,1.213,0.067,-0.062,-0.055,0.03,-0.03,6213.0,1.486,0.27
Kepler-82 d,Kepler-82,1.0,0.158,0.024,-0.024,2.382961,5e-06,-5e-06,1253.0,,,484.351,32.85,-30.551,2.78482974,,,0.946,0.017,-0.024,0.2107,0.0137,-0.0137,5428.0,0.945,220.0
Kepler-82 e,Kepler-82,1.0,0.22,0.033,-0.033,5.902206,1.2e-05,-1.2e-05,926.0,,,144.337,9.789,-9.104,0.7992363,,,0.946,0.017,-0.024,0.2107,0.0137,-0.0137,5428.0,0.945,0.54
Kepler-91 b,Kepler-91,1.0,1.367,0.069,-0.06,6.24658,8e-05,-8e-05,2040.0,50.0,-50.0,3273.324,222.239,-204.957,0.81,0.18,-0.17,1.31,0.1,-0.1,0.11,0.07,-0.07,4550.0,6.3,0.4
MASCARA-1 b,MASCARA-1,1.0,1.597,0.018,-0.019,2.14877381,8.8e-07,-8.7e-07,2594.3,1.6,-1.5,38711.5,,,3.7,0.9,-0.9,1.9,0.063,-0.068,0.15,0.15,-0.15,7490.0,2.082,1.5
MASCARA-4 b,MASCARA-4,1.0,1.515,0.044,-0.044,2.8240932,4.6e-06,-4.6e-06,2250.0,62.0,-62.0,4913.69,,,1.675,0.241,-0.241,1.75,0.05,-0.05,0.0,,,7800.0,1.79,0.481
NGTS-1 b,NGTS-1,1.0,1.33,0.61,-0.33,2.647298,2e-05,-2e-05,790.0,20.0,-20.0,65.3,5.1,-5.1,0.812,0.066,-0.075,0.617,0.023,-0.062,0.0,,,3916.0,0.573,0.42
NGTS-13 b,NGTS-13,1.0,1.142,0.046,-0.046,4.119027,2.3e-05,-2.3e-05,1605.0,30.0,-30.0,1096.0,90.0,-90.0,4.84,0.44,-0.44,1.3,0.11,-0.18,0.25,0.17,-0.17,5819.0,1.788,4.02
NGTS-15 b,NGTS-15,1.0,1.1,0.1,-0.1,3.27623,1e-05,-1e-05,1146.0,47.0,-47.0,425.0,98.0,-98.0,0.751,0.102,-0.088,0.995,0.025,-0.025,0.15,0.1,-0.1,5600.0,0.954,0.74
NGTS-16 b,NGTS-16,1.0,1.3,0.13,-0.12,4.84532,2e-05,-2e-05,1177.0,59.0,-59.0,480.0,115.0,-115.0,0.667,0.157,-0.129,1.002,0.031,-0.031,0.35,0.1,-0.1,5550.0,1.213,0.38
NGTS-17 b,NGTS-17,1.0,1.24,0.11,-0.11,3.24253,1e-05,-1e-05,1457.0,50.0,-50.0,1160.0,250.0,-250.0,0.764,0.195,-0.164,1.025,0.034,-0.033,0.15,0.1,-0.1,5650.0,1.337,0.5
NGTS-18 b,NGTS-18,1.0,1.21,0.18,-0.18,3.05125,1e-05,-1e-05,1381.0,55.0,-53.0,845.0,270.0,-270.0,0.409,0.081,-0.063,1.003,0.03,-0.025,0.15,0.1,-0.1,5610.0,1.392,0.28
NGTS-2 b,NGTS-2,1.0,1.595,0.047,-0.045,4.511164,6.1e-05,-6.1e-05,1468.0,45.0,-42.0,1085.35,,,0.74,0.13,-0.12,1.64,0.19,-0.22,-0.06,0.09,-0.09,6478.0,1.702,0.226
NGTS-21 b,NGTS-21,1.0,1.33,0.03,-0.03,1.5433897,1.6e-06,-1.6e-06,1357.0,15.0,-15.0,514.2853,,,2.36,0.21,-0.21,0.72,0.04,-0.04,-0.26,0.07,-0.07,4660.0,0.86,1.25
NGTS-24 b,NGTS-24,1.0,1.214,0.058,-0.062,3.4678796,7e-06,-7e-06,1499.0,41.0,-36.0,391.83,,,0.52,0.12,-0.11,1.26,0.05,-0.21,0.27,0.18,-0.03,5820.0,1.64,0.36
NGTS-27 b,NGTS-27,1.0,1.396,0.038,-0.035,3.3704181,5.9e-06,-5.7e-06,1783.0,104.0,-88.0,1680.0,390.0,-330.0,0.593,0.095,-0.072,1.07,0.06,-0.06,0.0,0.08,-0.08,5700.0,1.77,0.266
NGTS-3 A b,NGTS-3 A,1.0,1.48,0.37,-0.37,1.6753728,3e-06,-3e-06,1434.44,,,1000.5679,,,2.38,0.26,-0.26,1.017,0.093,-0.093,0.12,0.15,-0.15,5600.0,0.93,0.31
NGTS-31 b,NGTS-31,1.0,1.61,0.16,-0.16,4.162734,4e-06,-4e-06,1410.0,20.0,-20.0,643.0,29.0,-26.0,1.12,0.12,-0.12,0.96,0.11,-0.05,0.0,0.04,-0.04,5710.0,1.7,0.3
NGTS-32 b,NGTS-32,1.0,1.42,0.03,-0.03,3.31211,2e-05,-2e-05,1750.0,20.0,-20.0,1554.0,72.0,-71.0,0.57,0.05,-0.05,1.07,0.06,-0.04,-0.03,0.04,-0.04,5680.0,1.85,0.24
NGTS-33 b,NGTS-33,1.0,1.64,0.07,-0.07,2.827972,1e-06,-1e-06,1991.0,21.0,-21.0,2620.0,1120.0,-1120.0,3.63,0.27,-0.27,1.6,0.11,-0.11,-0.11,0.17,-0.17,7437.0,1.47,0.19
NGTS-6 b,NGTS-6,1.0,1.326,0.097,-0.112,0.882059,8e-07,-8e-07,1283.9,12.49,-12.14,983.4246,,,1.339,0.028,-0.028,0.767,0.025,-0.025,0.11,0.09,-0.09,4730.0,0.754,0.711
NGTS-8 b,NGTS-8,1.0,1.09,0.03,-0.03,2.4997,1e-05,-1e-05,1345.0,19.0,-19.0,503.0,33.0,-33.0,0.93,0.04,-0.03,0.89,0.05,-0.04,0.24,0.09,-0.09,5241.0,0.98,0.89
NGTS-9 b,NGTS-9,1.0,1.07,0.06,-0.06,4.43527,2e-05,-2e-05,1448.0,36.0,-36.0,729.0,80.0,-80.0,2.9,0.17,-0.17,1.34,0.05,-0.05,0.31,0.15,-0.15,6330.0,1.38,2.93
OGLE-TR-113 b,OGLE-TR-113,1.0,1.093,0.028,-0.019,1.4324752,,,1342.0,22.0,-22.0,528.4147,,,1.26,0.16,-0.16,0.779,0.017,-0.015,0.09,0.08,-0.08,4790.0,0.774,1.2
OGLE2-TR-L9 b,OGLE2-TR-L9,1.0,1.61,0.04,-0.04,2.4855335,7e-07,-7e-07,2034.0,22.0,-22.0,4135.3642,,,4.5,1.5,-1.5,1.52,0.08,-0.08,-0.05,0.2,-0.2,6933.0,1.53,1.25
Qatar-1 b,Qatar-1,1.0,1.143,0.026,-0.025,1.4200242,2.2e-07,-2.2e-07,1418.0,28.0,-27.0,382.328,,,1.294,0.052,-0.049,0.838,0.043,-0.041,0.171,0.097,-0.094,5013.0,0.803,1.076
Qatar-10 b,Qatar-10,1.0,1.543,0.04,-0.04,1.645321,1e-05,-1e-05,1955.0,25.0,-25.0,1816.48,,,0.736,0.09,-0.09,1.156,0.068,-0.068,0.016,0.089,-0.089,6124.0,1.254,0.248
Qatar-3 b,Qatar-3,1.0,1.096,0.14,-0.14,2.5079204,,,1681.0,84.0,-84.0,1330.0,287.0,-287.0,4.31,0.47,-0.47,1.145,0.064,-0.064,-0.041,0.081,-0.081,6007.0,1.272,4.0
Qatar-4 b,Qatar-4,1.0,1.135,0.11,-0.11,1.8053564,,,1385.0,48.0,-48.0,614.0,88.0,-88.0,6.1,0.54,-0.54,0.896,0.048,-0.048,0.103,0.081,-0.081,5215.0,0.849,5.1
Qatar-5 b,Qatar-5,1.0,1.107,0.064,-0.064,2.8792319,,,1415.0,31.0,-31.0,669.0,60.0,-60.0,4.32,0.18,-0.18,1.128,0.056,-0.056,0.377,0.08,-0.08,5747.0,1.076,3.95
Qatar-6 b,Qatar-6,1.0,1.062,0.071,-0.071,3.506195,1.8e-05,-1.8e-05,1006.0,18.0,-18.0,174.9015,,,0.668,0.066,-0.066,0.822,0.021,-0.021,-0.025,0.093,-0.093,5052.0,0.722,0.692
Qatar-7 b,Qatar-7,1.0,1.7,0.03,-0.03,2.032046,9.7e-06,-1.4e-05,2053.0,15.0,-15.0,2886.2922,,,1.88,0.25,-0.25,1.409,0.026,-0.026,0.276,0.071,-0.071,6387.0,1.564,0.502
Qatar-8 b,Qatar-8,1.0,1.285,0.022,-0.022,3.71495,0.001,-0.001,1457.0,14.0,-14.0,698.148,,,0.371,0.062,-0.062,1.029,0.051,-0.051,0.025,0.071,-0.071,5738.0,1.315,0.216
Qatar-9 b,Qatar-9,1.0,1.009,0.014,-0.014,1.540731,3.8e-05,-3.8e-05,1134.0,9.0,-9.0,210.669,,,1.19,0.16,-0.16,0.719,0.024,-0.024,0.252,0.076,-0.076,4309.0,0.696,1.43
TIC 257060897 b,TIC 257060897,1.0,1.54,0.043,-0.045,3.66003639,9.9e-07,-9.8e-07,1775.0,22.0,-25.0,1804.5549,,,0.634,0.041,-0.033,1.187,0.11,-0.058,0.054,0.078,-0.07,5993.0,1.863,0.215
TOI-1107 b,TOI-1107,1.0,1.3,0.05,-0.05,4.0782387,2.4e-06,-2.5e-06,1728.0,27.0,-27.0,532.0,92.0,-93.0,3.35,0.18,-0.18,1.35,0.08,-0.08,-0.1,0.09,-0.09,6311.0,1.81,1.89
TOI-1130 c,TOI-1130,1.0,1.15978431,0.03568567,-0.03568567,8.3501898,9.38e-05,-1e-06,650.0,18.0,-18.0,30.0,2.13,-2.13,1.05717423,0.0062927,-0.01573176,0.745,0.007,-0.009,0.11,0.1,-0.1,4360.0,0.697,0.827042
TOI-1181 b,TOI-1181,1.0,1.519,0.059,-0.059,2.103189,3e-06,-5e-06,1942.12,34.94,-34.15,14140.0,,,1.179,0.023,-0.023,1.467,0.024,-0.024,0.38,0.06,-0.06,6054.0,1.961,0.49
TOI-1194 b,TOI-1194,1.0,0.77764833,0.01386553,-0.01325568,2.3106446,5.4e-07,-5.4e-07,1264.29,19.45,-18.73,203.685,,,0.37756222,0.01761957,-0.01793421,0.9835,0.0298,-0.029,0.348,0.056,-0.058,5394.0,0.9608,0.99
TOI-1259 A b,TOI-1259 A,1.0,1.022,0.03,-0.027,3.477978,1.9e-06,-1.7e-06,963.0,21.0,-21.0,153.1389,,,0.441,0.049,-0.047,0.744,0.064,-0.059,-0.5,0.5,-0.5,4775.0,0.711,0.513
TOI-1268 b,TOI-1268,1.0,0.81184902,0.05352851,-0.05352851,8.1577094,4.5e-06,-4.5e-06,918.9,29.9,-30.7,91.0972,,,0.30330832,0.02580009,-0.02611472,0.96,0.04,-0.04,0.36,0.06,-0.06,5300.0,0.92,0.71
TOI-1295 b,TOI-1295,1.0,1.4,0.08,-0.08,3.1968838,5e-07,-5e-07,2360.0,50.0,-50.0,1800.0,130.0,-130.0,1.42,0.08,-0.08,1.38,0.08,-0.08,0.26,0.06,-0.06,6280.0,1.7,0.65
TOI-1298 b,TOI-1298,1.0,0.86163681,0.01775064,-0.01545166,4.537143,3e-06,-3e-06,1278.0,19.95,-26.28,732.0077,,,0.31148883,0.01887811,-0.01887811,1.2187,0.0246,-0.0568,0.397,0.061,-0.058,5752.0,1.4536,0.6
TOI-1333 b,TOI-1333,1.0,1.396,0.056,-0.054,4.720219,1.1e-05,-1.1e-05,1679.0,35.0,-34.0,1112.85,,,2.37,0.24,-0.24,1.464,0.076,-0.079,0.119,0.078,-0.077,6274.0,1.925,1.08
TOI-1408 b,TOI-1408,1.0,2.23035445,0.35685671,-0.35685671,4.42587,3e-05,-3e-05,1293.0,,,465.179,,,1.86578665,0.01258541,-0.01258541,1.312,0.009,-0.009,0.25,0.06,-0.06,6117.0,1.53,0.18
TOI-1431 b,TOI-1431,1.0,1.49,0.05,-0.05,2.650237,3e-06,-3e-06,2370.0,70.0,-70.0,5300.0,500.0,-470.0,3.12,0.18,-0.18,1.9,0.1,-0.08,0.09,0.03,-0.03,7690.0,1.92,1.17
TOI-150.01,TOI-150,1.0,1.255,0.021,-0.019,5.857487,8.9e-05,-9.7e-05,1404.5,7.1,-6.5,750.922,,,2.51,0.12,-0.12,1.351,0.038,-0.026,0.28,0.036,-0.036,6255.0,1.526,1.68
TOI-1516 b,TOI-1516,1.0,1.36,0.03,-0.03,2.056014,2e-06,-2e-06,1839.0,,,1899.83,,,3.16,0.12,-0.12,1.14,0.06,-0.06,-0.05,0.1,-0.1,6520.0,1.14,1.56
TOI-1518 b,TOI-1518,1.0,1.878,0.042,-0.042,1.90261131,4.3e-07,-4.3e-07,2546.0,35.0,-36.0,7010.0,390.0,-380.0,1.83,0.47,-0.47,1.88,0.13,-0.12,-0.1,0.12,-0.12,7299.0,1.942,0.343
TOI-157 b,TOI-157,1.0,1.286,0.023,-0.02,2.0845435,2.3e-06,-2.3e-06,1588.0,21.0,-20.0,1062.0,57.0,-51.0,1.18,0.13,-0.12,0.948,0.023,-0.018,0.24,0.09,-0.09,5404.0,1.167,0.686
TOI-1601 b,TOI-1601,1.0,1.2667542,0.05786174,-0.04560795,5.33175,0.00014,-0.00014,1493.97,29.38,-27.85,1071.42,,,1.21763817,0.05034163,-0.05348798,1.5055,0.0347,-0.0505,0.343,0.052,-0.058,5982.0,2.195,0.74
TOI-163 b,TOI-163,1.0,1.489,0.034,-0.034,4.231306,6.3e-05,-5.7e-05,1669.0,16.0,-14.0,1489.1126,,,1.22,0.12,-0.12,1.4352,0.029,-0.028,0.22,0.041,-0.041,6495.0,1.648,0.49
TOI-169 b,TOI-169,1.0,1.086,0.081,-0.048,2.2554477,6.3e-06,-6.3e-06,1715.0,22.0,-20.0,1443.0,73.0,-66.0,0.791,0.064,-0.06,1.147,0.069,-0.075,0.24,0.09,-0.09,5880.0,1.288,0.76
TOI-172 b,TOI-172,1.0,0.965,0.032,-0.029,9.47725,0.00064,-0.00079,1198.0,18.0,-17.0,299.0,19.0,-16.0,5.42,0.22,-0.2,1.128,0.065,-0.061,0.148,0.079,-0.08,5645.0,1.777,7.53
TOI-1789 b,TOI-1789,1.0,1.44,0.24,-0.14,3.208664,1.5e-05,-1.5e-05,1927.0,27.0,-17.0,2300.0,130.0,-81.0,0.7,0.16,-0.16,1.507,0.059,-0.14,0.373,0.071,-0.086,5991.0,2.168,0.28
TOI-1811 b,TOI-1811,1.0,0.994,0.025,-0.023,3.7130765,1.7e-06,-1.7e-06,962.2,8.0,-7.9,55.9743,,,0.972,0.076,-0.078,0.817,0.033,-0.03,0.306,0.076,-0.077,4766.0,0.769,1.23
TOI-1820 b,TOI-1820,1.0,1.14,0.02,-0.02,4.860674,5e-06,-5e-06,1375.0,12.0,-12.0,292.245,,,2.3,0.2,-0.2,1.04,0.13,-0.13,0.14,0.15,-0.15,5734.0,1.51,2.0
